问题,来源,考试类型
哪些考生需要在2023年10月30日至11月1日期间进行网上付费？,97,"['研考成考_研究生招生考试', '证书考试_全国大学英语四、六级考试（CET)']"
支付成功后是否可以修改已选的考试项目？,97,[]
春季考试考生的网上付费截止时间是什么时候？,97,['高考学考_春考']
哪些考生需要进行第二次网上付费？,98,['中考中招_中考中招']
体育类专业考生第二次网上付费的途径是什么？,98,['高考学考_体育类统一考试']
2024年完成网上确认的考生何时支付第二次费用？,98,['研考成考_成人高考']
专科自主招生志愿填报后，何时进行网上付费？,99,['高考学考_专科自主招生']
哪些考生需要参与2024年3月中旬的网上付费？,99,['自学考试_自学考试']
第三次网上付费的具体时间和对象是什么？,99,"['自学考试_自学考试', '证书考试_全国计算机等级考试（NCRE)', '证书考试_上海市高校信息技术水平考试']"
参加秋季高考的考生第四次网上缴费的截止时间是什么时候？,100,['高考学考_秋考']
2024年秋季统一高考考生何时需要完成第四次考试费用支付？,100,['高考学考_秋考']
哪些考生需在2024年4月中旬登录网站付费？,100,['高考学考_专科自主招生']
三校生高考志愿填报后的网上付费何时进行？,101,['高考学考_三校生高考']
哪些考生需要在2024年4月下旬完成网上付费？,101,"['证书考试_全国大学英语四、六级考试（CET)', '证书考试_上海市高校信息技术水平考试']"
已填报三校生高考志愿的考生应何时缴费？,101,['高考学考_三校生高考']
高考报名缴费时需要自己计算费用吗？,102,['高考学考_秋考']
如何确定2024年高考报名应缴纳的具体费用？,102,['高考学考_秋考']
网上缴费系统是否会自动生成考生需支付的费用？,102,[]
被体育单招录取后，如何申请退还已缴纳的秋季高考考试费用？,103,['高考学考_秋考']
如果因保送生项目被录取而未参加秋季高考，考试费如何退回原支付账户？,103,['高考学考_秋考']
2024年上海考生申请秋季高考考试费退款的流程和时间段是什么？,103,['高考学考_秋考']
高考退费申请是否支持在线操作？钱款如何返还？,104,['高考学考_秋考']
已支付高考费用但决定弃考，钱会退到哪个账户？,104,['高考学考_秋考']
在付费阶段如何申请退还高考费用？退款需要多久到账？,104,['高考学考_秋考']
在第一次付费阶段能否单独取消艺术类统一考试费用，仅保留春考？,105,"['高考学考_艺术类统一考试', '高考学考_春考']"
已确认报考春考和艺考，现在想退掉艺考费用只参加春考，如何操作？,105,"['高考学考_春考', '高考学考_艺术类统一考试']"
报名确认后是否可以在付费阶段单独取消某一项考试（例如艺术类考试）？,105,['高考学考_艺术类统一考试']
2024年上海有哪些考试安排在1月份进行？,106,[]
三校生高考和秋季统一高考的具体时间是什么时候？,106,"['高考学考_三校生高考', '高考学考_秋考']"
能否列出2024年上海各阶段考试的时间表？,106,[]
2024年上海春季考试的具体时间是什么时候？,107,['高考学考_春考']
哪里可以查询到春季考试的正式考试日期？,107,['高考学考_春考']
上海招考热线网站会公布哪个月的春季考试安排？,107,['高考学考_春考']
上海2024年1月的外语考试具体安排在什么时候？,108,['高考学考_高中学业水平考试']
哪里可以查询到2024年1月外语考试的准确时间？,108,['高考学考_高中学业水平考试']
能否告知明年1月上海的外语考试时间段？,108,[]
2024年专科自主招生考试的具体日期是什么时候？,109,['高考学考_专科自主招生']
上海专科自主招生考试的时间会在2024年哪个月份进行？,109,['高考学考_专科自主招生']
如何查询2024年专科自主招生考试的正式安排时间？,109,['高考学考_专科自主招生']
2024年三校生高考的具体考试时间在什么时候？,110,['高考学考_三校生高考']
哪里可以查询到2024年三校生高考的官方考试时间？,110,['高考学考_三校生高考']
上海三校生高考的2024年考试日期是如何安排的？,110,['高考学考_三校生高考']
2024年上海秋季高考的考试日期在几月？,111,['高考学考_秋考']
哪里可以查询到2024年统一高考的具体时间？,111,['高考学考_秋考']
明年上海的高考通常在什么时间进行？,111,['高考学考_秋考']
表（导）演类-戏剧影视表演方向的统考安排在什么时候？,112,['高考学考_艺术类统一考试']
美术与设计类专业统考中素描和色彩的考试时间分别是什么时候？,112,['高考学考_艺术类统一考试']
艺体类统考的考点是如何分配的？是否需要考生自行查看？,112,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
表（导）演类统考中，戏剧影视表演和导演方向的专业考试时间是什么时候？,113,['高考学考_艺术类统一考试']
2023年艺术类统考的戏剧影视表演和导演方向安排在哪些日期进行？,113,['高考学考_艺术类统一考试']
戏剧影视表演与导演方向的专业统一考试具体是哪两天？,113,['高考学考_艺术类统一考试']
2023年播音与主持类艺术统考的具体日期是哪两天？,114,['高考学考_艺术类统一考试']
艺术类统考中播音主持专业的考试时间是哪两天？,114,['高考学考_艺术类统一考试']
播音与主持类专业的省统考安排在2023年什么时候举行？,114,['高考学考_艺术类统一考试']
美术与设计类统考的具体日期是哪两天？,115,['高考学考_艺术类统一考试']
2023年艺术类美术与设计专业的统考时间是什么时候？,115,['高考学考_艺术类统一考试']
艺术类统考中，美术和设计专业的考试安排在什么时候？,115,['高考学考_艺术类统一考试']
艺术类统考素描科目的具体考试日期和时间是什么时候？,116,['高考学考_艺术类统一考试']
2023年艺术统考的素描考试安排在几月几日？,116,['高考学考_艺术类统一考试']
素描统考的考试从几点开始到几点结束？,116,['高考学考_艺术类统一考试']
艺术统考色彩科目的具体考试时间是什么时候？,117,['高考学考_艺术类统一考试']
2023年艺术类统考中，色彩考试在何时举行？,117,['高考学考_艺术类统一考试']
色彩考试的起止日期和时段是几点到几点？,117,['高考学考_艺术类统一考试']
艺术统考速写（综合能力）科目的具体考试时间安排是什么？,118,['高考学考_艺术类统一考试']
速写综合能力部分的统考何时开始和结束？,118,['高考学考_艺术类统一考试']
2023年艺术类统考中，速写综合能力考试在什么时间段进行？,118,['高考学考_艺术类统一考试']
书法类统考的具体考试日期是哪天？,119,['高考学考_艺术类统一考试']
艺术类书法专业的统一考试何时举行？,119,['高考学考_艺术类统一考试']
请问今年书法类统考的时间定在什么时候？,119,['高考学考_艺术类统一考试']
书法临摹科目的艺术类统考时间是什么时候？,120,['高考学考_艺术类统一考试']
艺术类统考中，书法临摹部分的考试何时开始和结束？,120,['高考学考_艺术类统一考试']
2023年书法临摹统考的具体考试时段是哪一天几点？,120,['高考学考_艺术类统一考试']
艺术类统考书法创作考试的具体日期和时段是什么时候？,121,['高考学考_艺术类统一考试']
书法创作考试的开始和结束时间分别是几点？,121,['高考学考_艺术类统一考试']
2023年艺术统考中，书法创作科目的考试安排在哪一天的哪个时间段？,121,['高考学考_艺术类统一考试']
2023年艺术类统考音乐类各专业方向的考试日期是哪两天？,122,['高考学考_艺术类统一考试']
音乐教育类和音乐表演类（声乐/器乐方向）的统考时间是什么时候？,122,['高考学考_艺术类统一考试']
能否告知今年音乐类专业统考的具体安排时间？,122,['高考学考_艺术类统一考试']
艺术类统考表（导）演类服装表演方向的考试具体日期是哪几天？,123,['高考学考_艺术类统一考试']
服装表演专业方向的艺术统考时间安排在2023年的哪两天？,123,['高考学考_艺术类统一考试']
请问导表类服装表演统一考试在12月的哪些日期进行？,123,['高考学考_艺术类统一考试']
舞蹈类艺术统考的具体日期是哪两天？,124,['高考学考_艺术类统一考试']
2023年艺术类统考中，舞蹈专业的考试时间如何安排？,124,['高考学考_艺术类统一考试']
艺术类舞蹈专业的统一考试在12月的哪几天举行？,124,['高考学考_艺术类统一考试']
不同考生类型（如应届生、往届生、非本市学籍考生）如何领取高考准考证？,125,['高考学考_秋考']
三校生高考和专科自主招生考试的考生分别通过什么方式获取准考证？,125,"['高考学考_三校生高考', '高考学考_专科自主招生']"
